"author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Florus, Lucius Annaeus.","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","1.0","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","0.9999747276306152"
"Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621.","","","0.0","{'authorized_name': 'longolius, christophorus, 1488-1522', 'author_id': 'A3945'}","0.17065119743347168"
"Suarez, Francisco, 1548-1617,","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.38003304600715637"
"Propertius, Sextus.","","","0.0","{'authorized_name': 'propertius, sextus', 'author_id': 'A4889'}","0.9996812343597412"
"Noceti, Carlo, 1694-1759.","","","0.0","{'authorized_name': ""nobili, roberto de' 1577-1656"", 'author_id': 'A3865'}","0.5690732598304749"
"Maffei, Giovanni Pietro, 1536?-1603.","{'authorized_name': 'maffei, giovanni pietro, 1536?-1603', 'author_id': 'A3869'}","{'authorized_name': 'maffei, giovanni pietro, 1536?-1603', 'author_id': 'A3869'}","1.0","{'authorized_name': 'maffei, giovanni pietro, 1536?-1603', 'author_id': 'A3869'}","0.9999895095825195"
"Thomas, Aquinas, Saint, 1225?-1274.","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}","1.0","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}","0.9999904632568359"
"Franchis, Francesco de.","","","0.0","{'authorized_name': 'negri, francesco, 1452-approximately 1523', 'author_id': 'A4289'}","0.2980039119720459"
"Pliny, the Elder","{'authorized_name': 'pliny, the elder', 'author_id': 'A5537'}","{'authorized_name': 'pliny, the elder', 'author_id': 'A5537'}","1.0","{'authorized_name': 'pliny, the elder', 'author_id': 'A5537'}","0.9999657869338989"
"Suárez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Horatius, Romanus, fl. 1450.","","","0.0","{'authorized_name': 'horatius romanus', 'author_id': 'A3205'}","0.9999496936798096"
"Doni, Gio. Battista 1593 or 1594-1647","","","0.0","{'authorized_name': 'donizone, di canossa', 'author_id': 'A5326'}","0.9830279350280762"
"Viger, François, 1590-1647","","","0.0","{'authorized_name': 'victor, vitensis', 'author_id': 'A4782'}","0.3081214725971222"
